June 29, 2025 5:55 PM | 170.203.218.61 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.21 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.22 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.23 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.24 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.25 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.26 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.27 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.28 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.29 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.30 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.31 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.32 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.33 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.34 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.35 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.36 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.37 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.38 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.39 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.40 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.41 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.42 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.43 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.44 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.45 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.46 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.47 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.48 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.49 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.50 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.51 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.52 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.53 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.54 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.55 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.56 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.57 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.58 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.218.59 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.219.60 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.219.61 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.219.62 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.219.63 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.219.64 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.219.65 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.219.66 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.219.67 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
June 29, 2025 5:55 PM | 170.203.219.68 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
July 28, 2025 4:00 AM | 34.123.170.104 | Proxy/VPN | Political | Council Bluffs | Iowa | United States | Direct Visit
July 28, 2025 7:14 AM | 66.249.79.132 | Normal | Political | Mountain View | California | United States | Direct Visit
July 28, 2025 11:28 AM | 163.172.106.204 | Normal | Political | Paris | ﾃ四e-de-France | France | Direct Visit
July 28, 2025 1:16 PM | 168.138.150.68 | Normal |  Political | Sao Paulo | Sao Paulo | Brazil | Direct Visit
July 28, 2025 6:01 PM | 134.238.192.31 | Normal | Political | Portland | Oregon | United States | Direct Visit
July 28, 2025 6:02 PM | 82.29.46.12 | Proxy/VPN | Political | San Francisco | California | United States | Direct Visit
July 28, 2025 6:02 PM | 31.58.154.130 | Proxy/VPN | Political | San Francisco | California | United States | Direct Visit
July 28, 2025 6:14 PM | 161.193.4.112 | Proxy/VPN | Political | Ashburn | Virginia | United States | Direct Visit
July 28, 2025 7:59 PM | 165.1.251.100 | Normal | Political | Vancouver | British Columbia | Canada | Direct Visit
July 28, 2025 8:12 PM | 104.47.75.190 | Normal | Political | Toronto | Ontario | Canada | Direct Visit
July 28, 2025 8:12 PM | 207.195.81.116 | Normal | Political | North Battleford | Saskatchewan | Canada | Direct Visit
July 28, 2025 8:12 PM | 4.204.72.49 | Normal | Political | Toronto | Ontario | Canada | Direct Visit
July 29, 2025 2:44 AM | 174.90.223.72 | Normal | Political | Edmonton | Alberta | Canada | Direct Visit
July 29, 2025 3:06 AM | 66.56.80.225 | Proxy/VPN | Political | Toronto | Ontario | Canada | Direct Visit
July 29, 2025 2:56 PM | 157.90.151.223 | Proxy/VPN | Political | Falkenstein | Saxony | Germany | Direct Visit
July 29, 2025 2:56 PM | 162.55.181.81 | Proxy/VPN | Political | Nuremberg | Bavaria | Germany | Direct Visit
July 29, 2025 5:55 PM | 170.203.218.60 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
July 29, 2025 6:35 PM | 172.182.224.3 | Normal | Political | Phoenix | Arizona | United States | Direct Visit
July 29, 2025 6:54 PM | 96.1.124.160 | Normal | Political | Calgary | Alberta | Canada | Direct Visit
July 29, 2025 8:17 PM | 57.141.2.10 | Proxy/VPN | Political | San Jose | California | United States | Direct Visit
July 29, 2025 8:20 PM | 57.141.2.13 | Proxy/VPN | Political | San Jose | California | United States | Direct Visit
July 30, 2025 12:17 AM | 40.77.167.68 | Normal | Political | Boydton | Virginia | United States | Direct Visit
July 30, 2025 2:04 AM | 172.225.43.148 | Proxy/VPN | Political | Sherwood Park | Alberta | Canada | Direct Visit
July 30, 2025 2:33 AM | 207.46.13.155 | Normal | Political | Quincy | Washington | United States | Direct Visit
July 30, 2025 3:37 AM | 210.79.150.57 | Normal | Political | Taichung | Taiwan | Taiwan | Direct Visit
July 30, 2025 5:29 AM | 104.28.124.6 | Proxy/VPN | Political | Edmonton | Alberta | Canada | Direct Visit
July 30, 2025 5:30 AM | 104.28.145.28 | Proxy/VPN | Political | Richmond | British Columbia | Canada | Direct Visit
July 30, 2025 2:52 PM | 23.98.142.189 | Normal | Political | San Antonio | Texas | United States | Direct Visit
July 30, 2025 5:18 PM | 104.28.149.224 | Proxy/VPN | Political | Kent | Washington | United States | Direct Visit
July 30, 2025 9:25 PM | 51.235.102.116 | Normal | Political | Dammam | Eastern Province | Saudi Arabia | Direct Visit
July 30, 2025 11:52 PM | 51.235.168.56 | Normal | Political | Dammam | Eastern Province | Saudi Arabia | Direct Visit
July 31, 2025 12:22 PM | 63.141.37.87 | Proxy/VPN | Political | London | England | United Kingdom | Direct Visit
July 31, 2025 12:22 PM | 193.142.103.187 | Proxy/VPN | Political | Newark | New York | United States | Direct Visit
July 31, 2025 12:26 PM | 45.139.0.102 | Proxy/VPN | Political | London | England | United Kingdom | Direct Visit
July 31, 2025 5:53 PM | 163.172.107.76 | Normal | Political | Paris | ﾃ四e-de-France | France | Direct Visit
July 31, 2025 7:03 PM | 102.66.142.161 | Normal | No Politics | East London | Eastern Cape | South Africa | Direct Visit
